symbol,name,exchange,assetType,ipoDate,delistingDate,status,price
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,null,Active,147.39
AA,Alcoa Corp,NYSE,Stock,2016-10-18,null,Active,29.67
AAA,AXS First Priority CLO Bond ETF,NYSE ARCA,ETF,2020-09-09,null,Active,25.14
AAAU,Goldman Sachs Physical Gold ETF,BATS,ETF,2018-08-15,null,Active,21.36
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,null,Active,1.4
AACI,Armada Acquisition Corp I,NASDAQ,Stock,2021-11-10,null,Active,11.1
AACIU,Armada Acquisition Corp I - Units (1 Ord & 1/2 War),NASDAQ,Stock,2021-08-13,null,Active,11.12
AACIW,Armada Acquisition Corp I - Warrants (13/08/2026),NASDAQ,Stock,2021-11-11,null,Active,0.09
AACT,Ares Acquisition Corporation II - Class A,NYSE,Stock,2023-06-12,null,Active,10.57
AACT-U,Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War),NYSE,Stock,2023-04-21,null,Active,#N/A
AACT-WS,Ares Acquisition Corporation II - Warrants (01/01/9999),NYSE,Stock,2023-06-12,null,Active,#N/A
AADI,Aadi Bioscience Inc,NASDAQ,Stock,2017-08-08,null,Active,2.13
AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF,NASDAQ,ETF,2010-07-21,null,Active,61.12
AAGR,African Agriculture Holdings Inc,NASDAQ,Stock,2023-12-07,null,Active,0.45
AAGRW,African Agriculture Holdings Inc - Warrants (06/12/2028),NASDAQ,Stock,2023-12-07,null,Active,0.01
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,null,Active,13.93
AAMC,Altisource Asset Management Corp,NYSE MKT,Stock,2012-12-13,null,Active,3.53
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,null,Active,2.8
AAN,Aarons Company Inc (The),NYSE,Stock,2020-11-25,null,Active,6.99
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,null,Active,13.6
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,null,Active,85.18
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,null,Active,83.83
AAPB,GRANITESHARES 1.75X LONG AAPL DAILY ETF,NASDAQ,ETF,2022-08-09,null,Active,18.64
AAPD,DIREXION DAILY AAPL BEAR 1X SHARES,NASDAQ,ETF,2022-08-09,null,Active,22.1
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,null,Active,176.08
AAPU,DIREXION DAILY AAPL BULL 1.5X SHARES,NASDAQ,ETF,2022-08-09,null,Active,23.45
AAPX,T-Rex 2X Long Apple Daily Target ETF,BATS,ETF,2024-01-11,null,Active,21.75
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,BATS,ETF,2023-10-27,null,Active,24.49
AAT,American Assets Trust Inc,NYSE,Stock,2011-01-13,null,Active,21.13
AAU,Almaden Minerals Ltd,NYSE MKT,Stock,2005-12-20,null,Active,0.14
AAXJ,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF,NASDAQ,ETF,2008-08-15,null,Active,67.21
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,null,Active,33.64
ABAT,Advanced Battery Technologies Inc,NASDAQ,Stock,2023-09-21,null,Active,1.99
ABBV,Abbvie Inc,NYSE,Stock,2013-01-02,null,Active,179.66
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,null,Active,46.12
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,2020-12-11,null,Active,4.6
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,ETF,2023-12-20,null,Active,26.31
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,null,Active,7.57
